season,mvp,runner_up
1984-85,Larry Bird,Magic Johnson
1985-86,Larry Bird,Dominique Wilkins
1986-87,Magic Johnson,Michael Jordan
1987-88,Michael Jordan,Larry Bird
1988-89,Magic Johnson,Michael Jordan
1989-90,Magic Johnson,Charles Barkley
1990-91,Michael Jordan,Magic Johnson
1991-92,Michael Jordan,Clyde Drexler
1992-93,Charles Barkley,Hakeem Olajuwon
1993-94,Hakeem Olajuwon,David Robinson
1994-95,David Robinson,Shaquille O'Neal
1995-96,Michael Jordan,David Robinson
1996-97,Karl Malone,Michael Jordan
1997-98,Michael Jordan,Karl Malone
1998-99,Karl Malone,Alonzo Mourning
1999-00,Shaquille O'Neal,Kevin Garnett
2000-01,Allen Iverson,Tim Duncan
2001-02,Tim Duncan,Jason Kidd
2002-03,Tim Duncan,Kevin Garnett
2003-04,Kevin Garnett,Tim Duncan
2004-05,Steve Nash,Shaquille O'Neal
2005-06,Steve Nash,LeBron James
2006-07,Dirk Nowitzki,Steve Nash
2007-08,Kobe Bryant,Chris Paul
2008-09,LeBron James,Kobe Bryant
2009-10,LeBron James,Kevin Durant
2010-11,Derrick Rose,Dwight Howard
2011-12,LeBron James,Kevin Durant
2012-13,LeBron James,Kevin Durant
2013-14,Kevin Durant,LeBron James
2014-15,Stephen Curry,James Harden
2015-16,Stephen Curry,Kawhi Leonard
2016-17,Russell Westbrook,James Harden
2017-18,James Harden,LeBron James
2018-19,Giannis Antetokounmpo,James Harden
2019-20,Giannis Antetokounmpo,LeBron James
2020-21,Nikola Jokić,Joel Embiid
2021-22,Nikola Jokić,Joel Embiid
2022-23,Joel Embiid,Nikola Jokić
2023-24,Nikola Jokić,Shai Gilgeous-Alexander
2024-25,Shai Gilgeous-Alexander,Nikola Jokić
