PLAYER,TEAM,SEASON,PTS,AST,REB,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,GP,MIN,ROLE
Larry Bird,BOS,1984-85,28.7,6.6,10.5,1.6,1.2,52.2,42.7,88.2,3.1,80,39.5,MVP
Magic Johnson,LAL,1984-85,18.3,12.6,6.2,1.5,0.3,56.1,18.9,84.3,4.0,77,36.1,Runner-Up
Larry Bird,BOS,1985-86,25.8,6.8,9.8,2.0,0.6,49.6,42.3,89.6,3.2,82,38.0,MVP
Dominique Wilkins,ATL,1985-86,30.3,2.6,7.9,1.8,0.6,46.8,18.6,81.8,3.2,78,39.1,Runner-Up
Magic Johnson,LAL,1986-87,23.9,12.2,6.3,1.7,0.4,52.2,20.5,84.8,3.8,80,36.3,MVP
Michael Jordan,CHI,1986-87,37.1,4.6,5.2,2.9,1.5,48.2,18.2,85.7,3.3,82,40.0,Runner-Up
Michael Jordan,CHI,1987-88,35.0,5.9,5.5,3.2,1.6,53.5,13.2,84.1,3.1,82,40.4,MVP
Larry Bird,BOS,1987-88,29.9,6.1,9.2,1.6,0.8,52.7,41.4,91.6,2.8,76,39.0,Runner-Up
Magic Johnson,LAL,1988-89,22.5,12.8,7.9,1.8,0.3,50.9,31.4,91.1,4.1,77,37.5,MVP
Michael Jordan,CHI,1988-89,32.5,8.0,8.0,2.9,0.8,53.8,27.6,85.0,3.6,81,40.2,Runner-Up
Magic Johnson,LAL,1989-90,22.3,11.5,6.6,1.7,0.4,48.0,38.4,89.0,3.7,79,37.2,MVP
Charles Barkley,PHL,1989-90,25.2,3.9,11.5,1.9,0.6,60.0,21.7,74.9,3.1,79,39.1,Runner-Up
Michael Jordan,CHI,1990-91,31.5,5.5,6.0,2.7,1.0,53.9,31.2,85.1,2.5,82,37.0,MVP
Magic Johnson,LAL,1990-91,19.4,12.5,7.0,1.3,0.2,47.7,32.0,90.6,4.0,79,37.1,Runner-Up
Michael Jordan,CHI,1991-92,30.0,6.1,6.4,2.3,0.9,51.9,27.0,83.2,2.5,80,38.8,MVP
Clyde Drexler,POR,1991-92,25.0,6.7,6.6,1.8,0.9,47.0,33.7,79.4,3.2,76,36.2,Runner-Up
Charles Barkley,PHX,1992-93,25.6,5.1,12.2,1.6,1.0,52.0,30.5,76.5,3.1,76,37.6,MVP
Hakeem Olajuwon,HOU,1992-93,26.1,3.5,13.0,1.8,4.2,52.9,0.0,77.9,3.2,82,39.5,Runner-Up
Hakeem Olajuwon,HOU,1993-94,27.3,3.6,11.9,1.6,3.7,52.8,42.1,71.6,3.4,80,41.0,MVP
David Robinson,SAN,1993-94,29.8,4.8,10.7,1.7,3.3,50.7,34.5,74.9,3.2,80,40.5,Runner-Up
David Robinson,SAN,1994-95,27.6,2.9,10.8,1.7,3.2,53.0,30.0,77.4,2.9,81,38.0,MVP
Shaquille O'Neal,ORL,1994-95,29.3,2.7,11.4,0.9,2.4,58.3,0.0,53.3,2.6,79,37.0,Runner-Up
Michael Jordan,CHI,1995-96,30.4,4.3,6.6,2.2,0.5,49.5,42.7,83.4,2.4,82,37.7,MVP
David Robinson,SAN,1995-96,25.0,3.0,12.2,1.4,3.3,51.6,33.3,76.1,2.3,82,36.8,Runner-Up
Karl Malone,UTA,1996-97,27.4,4.5,9.9,1.4,0.6,55.0,0.0,75.5,2.8,82,36.6,MVP
Michael Jordan,CHI,1996-97,29.6,4.3,5.9,1.7,0.5,48.6,37.4,83.3,2.0,82,37.9,Runner-Up
Michael Jordan,CHI,1997-98,28.7,3.5,5.8,1.7,0.5,46.5,23.8,78.4,2.3,82,38.8,MVP
Karl Malone,UTA,1997-98,27.0,3.9,10.3,1.2,0.9,53.0,33.3,76.1,3.0,81,37.4,Runner-Up
Karl Malone,UTA,1998-99,23.8,4.1,9.4,1.3,0.6,49.3,0.0,78.8,3.3,49,37.4,MVP
